category_path,code,article,name,unit,available,reserved,expected,stock,cost_price,cost_amount,sale_price,sale_amount,margin_percent,source_page
Инвентарь,00177165698842,,краска для цветов,шт,2.00,0.00,0.00,2.00,513.50,1026.99,0.00,0.00,110.86,4
Инвентарь,00177165698964,,Керамзит,шт,-5.00,0.00,0.00,-5.00,0.00,0.00,100.00,-500.00,0.00,4
Инвентарь,00177165698659,,Диван белый,шт,2.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,390.90,4
Инвентарь,00177165698886,,гирлянда луна,шт,3.00,0.00,0.00,3.00,1121.77,3365.31,0.00,0.00,95.02,4
Инвентарь,00177165698904,,вазон 40 см,шт,30.00,0.00,0.00,30.00,491.84,14755.11,0.00,0.00,95.02,4
Инвентарь,00177165698653,,Бумага А4,шт,2000.00,0.00,0.00,2000.00,0.00,0.00,0.00,0.00,390.90,4
Инвентарь,00177165698850,,бичевка,шт,5.00,0.00,0.00,5.00,184.68,923.38,0.00,0.00,137.88,4
Новогодние товары,00080,,Шишки,шт,31.00,0.00,0.00,31.00,10.35,320.86,40.00,1240.00,382.70,4
Новогодние товары,00079,,Хлопок,шт,530.00,0.00,0.00,530.00,56.05,29706.86,50.00,26500.00,178.69,4
Новогодние товары,00177165698805,,сосульки,шт,142.00,0.00,0.00,142.00,12.50,1775.00,50.00,7100.00,148.43,4
Новогодние товары,00082,,Корица,шт,206.00,0.00,0.00,206.00,14.01,2886.29,40.00,8240.00,160.57,4
Новогодние товары,00177165698668,,Гирлянда,шт,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,390.90,4
Новогодние товары,00177165698667,,Апельсин,шт,2.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,390.90,4
Первостепенный цветок 15%,00177165699024,,фритилярия,шт,10.00,0.00,0.00,10.00,424.48,4244.75,930.00,9300.00,5.00,5
Первостепенный цветок 15%,00016,,Пион,шт,428.00,0.00,0.00,428.00,185.10,79222.00,395.00,169060.00,5.22,5
Первостепенный цветок 15%,00177165698874,,Нерине,шт,96.00,0.00,0.00,96.00,252.06,24198.11,560.00,53760.00,5.00,5
Первостепенный цветок 15%,00177165699033,,Джульетта одноголовая,шт,19.00,0.00,0.00,19.00,322.64,6130.19,650.00,12350.00,5.00,5
Первостепенный цветок 15%,00014,,Дельфиниум,шт,8.00,3.00,0.00,11.00,169.35,1862.85,380.00,4180.00,3.99,5
Первостепенный цветок 15%,00012,,Гортензия Китай,шт,58.00,0.00,0.00,58.00,420.16,24369.33,950.00,55100.00,3.87,5
Первостепенный цветок 15%,00177165699032,,гортензия Голландия,шт,11.00,0.00,0.00,11.00,676.59,7442.51,1400.00,15400.00,5.00,5
Первостепенный цветок 15%,00177165698877,,ГЕРБЕРА ГОЛЛАНДИЯ,шт,-8.00,3.00,0.00,-5.00,0.00,0.00,140.00,-700.00,0.00,5
Первостепенный цветок 15%,00010,,Антуриум срезанный,шт,20.00,2.00,0.00,22.00,533.33,11733.23,950.00,20900.00,4.89,5
Сухоцветы,00177165698843,,ягода декор,шт,9.50,0.00,0.00,9.50,104.76,995.24,230.00,2185.00,140.73,5
Сухоцветы,00174,,Хасмантьюм сухоцвет,шт,66.00,0.00,0.00,66.00,118.79,7840.00,170.00,11220.00,417.26,5
Сухоцветы,00074,,Стифа,шт,-210.00,25.00,0.00,-185.00,-3.63,671.82,70.00,-12950.00,0.00,5
